participant_id,file,action,take,camera,start,end,detection_rate,in_frame_rate,verdict
P003,data/raw/_nosound/P003_S1_M03_T04_CAM_F.mov,M03,004,cam01,00:00,00:16,0.999,0.999,OK
P003,data/raw/_nosound/P003_S1_M04_T01_CAM_F.mov,M04,001,cam01,00:00,00:04,0.996,0.996,OK
P003,data/raw/_nosound/P003_S1_M04_T02_CAM_F.mov,M04,002,cam01,00:00,00:03,0.995,0.995,OK
P003,data/raw/_nosound/P003_S1_M04_T03_CAM_F.mov,M04,003,cam01,00:00,00:03,0.994,0.994,OK
P003,data/raw/_nosound/P003_S1_M04_T04_CAM_F.mov,M04,004,cam01,00:00,00:03,0.994,0.994,OK
P003,data/raw/_nosound/P003_S1_M05_T01_CAM_F.mov,M05,001,cam01,00:00,00:22,0.999,0.999,OK
P003,data/raw/_nosound/P003_S1_M06_T01_CAM_F.mov,M06,001,cam01,00:00,00:08,1.000,1.000,OK
P003,data/raw/_nosound/P003_S1_M06_T02_CAM_F.mov,M06,002,cam01,00:00,00:14,1.000,1.000,OK
P004,data/raw/_nosound/P004_S1_M00_T01_CAM_F.mov,M00,001,cam01,00:00,00:19,1.000,1.000,OK
P004,data/raw/_nosound/P004_S1_M01_T01_CAM_F.mov,M01,001,cam01,00:00,00:11,1.000,1.000,OK
P004,data/raw/_nosound/P004_S1_M01_T02_CAM_F.mov,M01,002,cam01,00:00,00:14,1.000,1.000,OK
P004,data/raw/_nosound/P004_S1_M02_T01_CAM_F.mov,M02,001,cam01,00:00,00:09,1.000,1.000,OK
P004,data/raw/_nosound/P004_S1_M02_T02_CAM_F.mov,M02,002,cam01,00:00,00:05,1.000,1.000,OK
P004,data/raw/_nosound/P004_S1_M02_T03_CAM_F.mov,M02,003,cam01,00:00,00:05,1.000,1.000,OK
P004,data/raw/_nosound/P004_S1_M03_T01_CAM_F.mov,M03,001,cam01,00:00,00:22,1.000,1.000,OK
P004,data/raw/_nosound/P004_S1_M03_T02_CAM_F.mov,M03,002,cam01,00:00,00:21,1.000,1.000,OK
P004,data/raw/_nosound/P004_S1_M03_T03_CAM_F.mov,M03,003,cam01,00:00,00:21,1.000,1.000,OK
P004,data/raw/_nosound/P004_S1_M03_T04_CAM_F.mov,M03,004,cam01,00:00,00:21,1.000,1.000,OK
P004,data/raw/_nosound/P004_S1_M04_T01_CAM_F.mov,M04,001,cam01,00:00,00:04,1.000,1.000,OK
P004,data/raw/_nosound/P004_S1_M04_T02_CAM_F.mov,M04,002,cam01,00:00,00:03,1.000,1.000,OK
P004,data/raw/_nosound/P004_S1_M04_T03_CAM_F.mov,M04,003,cam01,00:00,00:02,1.000,1.000,OK
P004,data/raw/_nosound/P004_S1_M05_T01_CAM_F.mov,M05,001,cam01,00:00,00:17,1.000,1.000,OK
P004,data/raw/_nosound/P004_S1_M06_T01_CAM_F.mov,M06,001,cam01,00:00,00:08,1.000,1.000,OK
P004,data/raw/_nosound/P004_S1_M06_T02_CAM_F.mov,M06,002,cam01,00:00,00:08,1.000,1.000,OK
P004,data/raw/_nosound/P004_S1_M06_T03_CAM_F.mov,M06,003,cam01,00:00,00:08,1.000,1.000,OK
P004,data/raw/_nosound/P004_S1_M06_T04_CAM_F.mov,M06,004,cam01,00:00,00:08,1.000,1.000,OK
P004,data/raw/_nosound/P004_S1_M07_T01_CAM_F.mov,M07,001,cam01,00:00,00:12,1.000,1.000,OK
P004,data/raw/_nosound/P004_S1_M07_T02_CAM_F.mov,M07,002,cam01,00:00,00:11,1.000,1.000,OK
P005,data/raw/_nosound/P005_S1_M00_T01_CAM_F.mov,M00,001,cam01,00:00,00:19,1.000,1.000,OK
P005,data/raw/_nosound/P005_S1_M01_T01_CAM_F.mov,M01,001,cam01,00:00,00:09,1.000,1.000,OK
P005,data/raw/_nosound/P005_S1_M01_T02_CAM_F.mov,M01,002,cam01,00:00,00:10,1.000,1.000,OK
P005,data/raw/_nosound/P005_S1_M01_T03_CAM_F.mov,M01,003,cam01,00:00,00:11,1.000,1.000,OK
P005,data/raw/_nosound/P005_S1_M02_T01_CAM_F.mov,M02,001,cam01,00:00,00:09,1.000,1.000,OK
P005,data/raw/_nosound/P005_S1_M02_T02_CAM_F.mov,M02,002,cam01,00:00,00:07,1.000,1.000,OK
P005,data/raw/_nosound/P005_S1_M02_T03_CAM_F.mov,M02,003,cam01,00:00,00:08,1.000,1.000,OK
P005,data/raw/_nosound/P005_S1_M02_T04_CAM_F.mov,M02,004,cam01,00:00,00:06,1.000,1.000,OK
P005,data/raw/_nosound/P005_S1_M03_T01_CAM_F.mov,M03,001,cam01,00:00,00:10,1.000,1.000,OK
P005,data/raw/_nosound/P005_S1_M03_T02_CAM_F.mov,M03,002,cam01,00:00,00:10,1.000,1.000,OK
P005,data/raw/_nosound/P005_S1_M03_T03_CAM_F.mov,M03,003,cam01,00:00,00:10,1.000,1.000,OK
P005,data/raw/_nosound/P005_S1_M03_T04_CAM_F.mov,M03,004,cam01,00:00,00:10,1.000,1.000,OK
P005,data/raw/_nosound/P005_S1_M03_T05_CAM_F.mov,M03,005,cam01,00:00,00:09,1.000,1.000,OK
P005,data/raw/_nosound/P005_S1_M03_T06_CAM_F.mov,M03,006,cam01,00:00,00:09,1.000,1.000,OK
P005,data/raw/_nosound/P005_S1_M04_T01_CAM_F.mov,M04,001,cam01,00:00,00:05,1.000,1.000,OK
P005,data/raw/_nosound/P005_S1_M04_T02_CAM_F.mov,M04,002,cam01,00:00,00:04,1.000,1.000,OK
P005,data/raw/_nosound/P005_S1_M04_T03_CAM_F.mov,M04,003,cam01,00:00,00:03,1.000,1.000,OK
P005,data/raw/_nosound/P005_S1_M04_T04_CAM_F.mov,M04,004,cam01,00:00,00:03,1.000,1.000,OK
P005,data/raw/_nosound/P005_S1_M05_T01_CAM_F.mov,M05,001,cam01,00:00,00:10,1.000,1.000,OK
P005,data/raw/_nosound/P005_S1_M06_T01_CAM_F.mov,M06,001,cam01,00:00,00:08,1.000,0.937,OK
P005,data/raw/_nosound/P005_S1_M06_T02_CAM_F.mov,M06,002,cam01,00:00,00:07,0.886,0.794,검토필요
P005,data/raw/_nosound/P005_S1_M06_T03_CAM_F.mov,M06,003,cam01,00:00,00:07,0.867,0.817,검토필요
P005,data/raw/_nosound/P005_S1_M06_T04_CAM_F.mov,M06,004,cam01,00:00,00:07,0.899,0.852,검토필요
P005,data/raw/_nosound/P005_S1_M07_T01_CAM_F.mov,M07,001,cam01,00:00,00:09,1.000,0.851,검토필요
P005,data/raw/_nosound/P005_S1_M07_T02_CAM_F.mov,M07,002,cam01,00:00,00:10,0.859,0.761,검토필요
P006,data/raw/_nosound/P006_S1_M00_T01_CAM_F.mov,M00,001,cam01,00:00,00:17,1.000,1.000,OK
P006,data/raw/_nosound/P006_S1_M01_T01_CAM_F.mov,M01,001,cam01,00:00,00:12,1.000,1.000,OK
P006,data/raw/_nosound/P006_S1_M01_T02_CAM_F.mov,M01,002,cam01,00:00,00:10,1.000,1.000,OK
P006,data/raw/_nosound/P006_S1_M02_T01_CAM_F.mov,M02,001,cam01,00:00,00:10,1.000,1.000,OK
P006,data/raw/_nosound/P006_S1_M02_T02_CAM_F.mov,M02,002,cam01,00:00,00:08,1.000,1.000,OK
P006,data/raw/_nosound/P006_S1_M02_T03_CAM_F.mov,M02,003,cam01,00:00,00:07,1.000,1.000,OK
P006,data/raw/_nosound/P006_S1_M02_T04_CAM_F.mov,M02,004,cam01,00:00,00:07,1.000,1.000,OK
P006,data/raw/_nosound/P006_S1_M03_T01_CAM_F.mov,M03,001,cam01,00:00,00:15,1.000,1.000,OK
P006,data/raw/_nosound/P006_S1_M03_T02_CAM_F.mov,M03,002,cam01,00:00,00:16,1.000,1.000,OK
P006,data/raw/_nosound/P006_S1_M03_T03_CAM_F.mov,M03,003,cam01,00:00,00:15,1.000,1.000,OK
